,trackId,trackTitle,artistName,genre,nearest_trackId,nearest_trackTitle,nearest_artistName,nearest_genre,min_distance
165,32277937,"Ain't No Fun (If the Homies Cant Have None) (feat. Nate Dogg, Warren G & Kurupt)",Snoop Dogg,hiphop,30183113,The Next Episode,Dr. Dre,hiphop,0.2559034463638148
166,49467085,Landslide,Fleetwood Mac,pop,29040216,Layla,Eric Clapton,rock,0.28294366597772724
167,46868760,I Say a Little Prayer,Aretha Franklin,soul,46882267,(You Make Me Feel Like) A Natural Woman,Aretha Franklin,soul,0.17863148040214083
168,47551944,Me and Bobby McGee,Janis Joplin,pop,29063128,Have You Ever Seen The Rain?,Creedence Clearwater Revival,rock,0.18654905616495976
169,29055846,Bulls on Parade (Album Version),Rage Against The Machine,rock,29056087,Killing In The Name,Rage Against The Machine,rock,0.14927587616892113
170,46869219,Everywhere,Fleetwood Mac,pop,41624223,We Don't Need Another Hero (Thunderdome),Tina Turner,pop,0.3281548807746095
171,46868500,When A Man Loves A Woman,Percy Sledge,pop,53781097,My Girl,The Temptations,rnb,0.14949578134541408
172,29086108,Fear Of The Dark (1998 Remastered Version),Iron Maiden,rock,46924245,The Trooper (1998 Remastered Version),Iron Maiden,rock,0.09629366137689888
173,55810917,Voodoo Child (Slight Return),Jimi Hendrix,rock,51090738,Purple Haze,Jimi Hendrix,rock,0.06486271260925547
174,46868553,What's Love Got to Do with It,Tina Turner,pop,41624223,We Don't Need Another Hero (Thunderdome),Tina Turner,pop,0.24583852184943378
175,32315229,Here I Go Again 87 (2007 Remastered Version),Whitesnake,rock,46871837,Poison,Alice Cooper,rock,0.17005686656968488
176,47028075,Here And Now (Album Version),Luther Vandross,pop,47819288,If Only for One Night,Luther Vandross,pop,0.1555184124742911
177,46928173,The Number Of The Beast (1998 Remastered Version),Iron Maiden,rock,29086176,Run to the Hills (1998 Remastered Version),Iron Maiden,rock,0.057864114697113056
178,34566772,Riders On The Storm,The Doors,rock,40380298,Child In Time (1995 Remastered Version),Deep Purple,rock,0.2135048015696127
